t,V,G,X,S,P,r_V,r_G,r_X,r_S,r_P,q_G,q_X,q_S,q_P,q_D,q_M,q_O
0.0,0.75,0.0,0.71,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.24807997923176392,0.7502740887719472,-9.947177498916494e-9,0.7441651042116577,0.339721074904205,0.24895051649512762,0.0011307270645050964,-2.5502047534809745e-8,0.1409448760682334,1.4014868651798833,1.027021591304139,-6.7473001915455,0.18940000716312105,1.8833009734641735,1.380099100981266,3.2634000744454394,8.511044312562236,-12.949065086189949
1.0319199136119068,0.7512294414079639,-9.855691184291175e-9,0.8632495969348674,1.5238389871963205,1.1166822753781431,0.0013116708606090868,1.0714828765418236e-8,0.16349947984302607,1.6257588062499913,1.191369992652251,-6.7473001915455,0.18940000716312105,1.8833009734641735,1.380099100981266,3.2634000744454394,8.511044312562236,-12.949065086189949
1.5999998660545884,0.7520161914798194,-9.778609883359643e-9,0.9613178176898171,2.498981376999019,1.8312749796021282,0.001460681329862137,-1.7972530711802675e-8,0.1820736015564874,1.8104507818636875,1.326713855950989,-6.7473001915455,0.18940000716312105,1.8833009734641735,1.380099100981266,3.2634000744454394,8.511044312562236,-12.949065086189949
1.8480798451169065,0.7523872991139021,-9.7560315211868e-9,1.007576301324975,2.9589530854689388,2.16834621337793,0.0015309691199529838,9.97418007766773e-11,0.19083495858652375,1.8975693762282237,1.3905551994666938,-6.747300188843648,0.18940000706206864,1.8833009209653873,1.3800991524295452,3.2634000733949327,8.51091219604059,-12.948304292192645
2.631919778961664,0.7536808167356053,-9.663425764627936e-9,1.1688129837320398,4.562211697656404,3.3432279474510347,0.001775961366637599,1.2969797564927216e-10,0.22137318737308645,2.2012265686988526,1.613077808197236,-6.747300188843648,0.18940000706206864,1.8833009209653873,1.3800991524295452,3.2634000733949327,8.51091219604059,-12.948304292192645
3.19999973101633,0.754746051752812,-9.58981581468849e-9,1.3015942905171995,5.882523989268554,4.310764178284603,0.0019777168864273343,1.2564981444320912e-10,0.2465219678159059,2.451293726054332,1.7963291771499221,-6.747300188843648,0.18940000706206864,1.8833009209653873,1.3800991524295452,3.2634000733949327,8.51091219604059,-12.948304292192645
3.448079709843319,0.7552485198939947,-9.56027712426363e-9,1.364226831987847,6.50531129352788,4.76714811410756,0.002072884354730399,1.2104582935392735e-10,0.25838457141980886,2.5692495772690065,1.8827683643615925,-6.7473001850620085,0.18940000692063083,1.883300868320624,1.3800992036039685,3.2634000719245924,8.510747588404092,-12.946682405608959
4.231919642944526,0.7569999023371572,-9.458861274452306e-9,1.5825362620032526,8.676073300325932,6.3579013321354445,0.0024045962015851923,1.3923599530051957e-10,0.29973237897556576,2.9803919163796,2.18405703486509,-6.7473001850620085,0.18940000692063083,1.883300868320624,1.3800992036039685,3.2634000719245924,8.510747588404092,-12.946682405608959
4.79999959446031,0.7584421972663292,-9.374735253356817e-9,1.76231800249771,10.463734839975658,7.667915206543114,0.0026777668711599994,1.573472602683912e-10,0.3337830418694187,3.3189750243610048,2.4321736717440263,-6.7473001850620085,0.18940000692063083,1.883300868320624,1.3800992036039685,3.2634000719245924,8.510747588404092,-12.946682405608959
