t,V,G,X,S,P,r_V,r_G,r_X,r_S,r_P,q_G,q_X,q_S,q_P,q_D,q_M,q_O
3.1999965976293634,0.7857460432598065,-9.261386775716565e-9,1.3015932334377112,5.882511985988973,4.310757923732984,0.0019777152965562376,2.3214476155976187e-10,0.24652177031269484,2.4512911324557827,1.7963283492230275,-6.747300244463811,0.18940000914232807,1.8833004578408417,1.380099637179769,3.263400095020611,8.514992397820107,-12.961842825701467
3.2992284783810324,0.7859441556104168,-9.245772043120302e-9,1.326287893724333,6.1280635300355275,4.490700322874409,0.0020152377773715252,1.1741224923138414e-10,0.2511989391657493,2.497798579088847,1.8304094589935775,-6.747300243838902,0.18940000911895577,1.883300443974354,1.380099650803286,3.26340009477764,8.514972600277547,-12.96174430160138
3.6127641016009133,0.7865951344114048,-9.224547892493058e-9,1.40743225597466,6.934923118706803,5.08197434935028,0.002138533168214901,6.985506920557586e-11,0.26656768211591314,2.650617792540904,1.942396764999909,-6.747300243838902,0.18940000911895577,1.883300443974354,1.380099650803286,3.26340009477764,8.514972600277547,-12.96174430160138
3.839995828533387,0.7870916890815457,-9.196316241781768e-9,1.4693276847810222,7.550380789977518,5.532987314340843,0.0022325806272676454,1.888512414923647e-10,0.27829067689625975,2.7671854810919085,2.027818624681889,-6.747300243838902,0.18940000911895577,1.883300443974354,1.380099650803286,3.26340009477764,8.514972600277547,-12.96174430160138
3.939227701927159,0.7873153318695905,-9.185674568380663e-9,1.4972047083948081,7.8275761863294395,5.736118618773375,0.002274938573096889,6.370066214182218e-11,0.2835705853812269,2.819686272734767,2.06629171410895,-6.747300243094343,0.18940000909110838,1.883300431079879,1.3800996634082687,3.263400094488148,8.514949885764675,-12.961632100633183
4.252763301898839,0.7880502013168382,-9.18289308470778e-9,1.5888060209749442,8.738414534740857,6.403589234357079,0.0024141228530864135,1.054280682729975e-11,0.30091987481666216,2.99219906420442,2.192710654768551,-6.747300243094343,0.18940000909110838,1.883300431079879,1.3800996634082687,3.263400094488148,8.514949885764675,-12.961632100633183
4.4799950119824175,0.7886107462286472,-9.167071090605246e-9,1.6586778191210094,9.43318529109025,6.912723555764259,0.0025202900644789965,1.4053814449913407e-10,0.314153594020739,3.1237886517732307,2.289140699871666,-6.747300243094343,0.18940000909110838,1.883300431079879,1.3800996634082687,3.263400094488148,8.514949885764675,-12.961632100633183
4.579226875908031,0.7888632095150868,-9.15756767603703e-9,1.690147311425775,9.74610242525258,7.142032077560939,0.0025681066128792145,5.134596797740681e-11,0.3201139160927533,3.183055139852253,2.332571755365107,-6.747300242198952,0.1894000090576197,1.883300419042817,1.3800996750971934,3.2634000941400103,8.514922303134114,-12.961499077650723
4.892762445963869,0.7896927804423745,-9.158877424048668e-9,1.7935531423515458,10.774319085235577,7.8955185973023205,0.002725227354021431,-1.5423418939113583e-12,0.339698981406705,3.3777993845662277,2.4752821090289188,-6.747300242198952,0.1894000090576197,1.883300419042817,1.3800996750971934,3.2634000941400103,8.514922303134114,-12.961499077650723
5.119994134366248,0.7903255619000136,-9.145251026436126e-9,1.872429209809146,11.55862385710154,8.470264267129936,0.002845076167829791,1.3350907975558527e-10,0.3546381092976039,3.5263467154615755,2.584138944100097,-6.747300242198952,0.1894000090576197,1.883300419042817,1.3800996750971934,3.2634000941400103,8.514922303134114,-12.961499077650723
5.219225985761144,0.7906105597254809,-9.12749283212845e-9,1.907954125139885,11.91186611867426,8.729123412634072,0.002899054758100744,1.3784910801302918e-10,0.3613665285053151,3.5932507818096413,2.6331668889789177,-6.747300241110074,0.18940000901689438,1.883300407731866,1.380099685984778,3.263400093716644,8.514890306937488,-12.961344963241048
5.532761516224604,0.7915470361237217,-9.099821550704537e-9,2.024685699151661,13.072587398850912,9.57971053495987,0.0030764233963716547,9.36079117173163e-11,0.38347548967570166,3.8130914027412013,2.794268097617078,-6.747300241110074,0.18940000901689438,1.883300407731866,1.380099685984778,3.263400093716644,8.514890306937488,-12.961344963241048
5.759993175932813,0.792261363105298,-9.064923539077383e-9,2.1137263979617176,13.957964254132648,10.22852275574843,0.003211716933123217,2.2435620091208713e-10,0.40033979883319704,3.980781787114912,2.9171531380847027,-6.747300241110074,0.18940000901689438,1.883300407731866,1.380099685984778,3.263400093716644,8.514890306937488,-12.961344963241048
