t,V,G,X,S,P,r_V,r_G,r_X,r_S,r_P,q_G,q_X,q_S,q_P,q_D,q_M,q_O
0.0,0.75,0.0,0.71,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.42566419057971183,0.7504789196540046,-9.902675165996964e-9,0.7696972280990773,0.5936000466737121,0.43499514919685195,0.00116952204920813,-1.4844516091060781e-8,0.14578066269788506,1.4495716289869038,1.062258385180494,-6.747300267359053,0.18940000999863707,1.8833010904390464,1.3800990134834652,3.2634001039225113,8.501205851490173,-12.942051310445498
1.770603803382039,0.7522690463189191,-9.704720530533023e-9,0.9928361177893439,2.812384059811096,2.0609388940443174,0.0015085720574402506,6.430298981759466e-9,0.18804317063631118,1.8698093432599419,1.3702121467118265,-6.747300267359053,0.18940000999863707,1.8833010904390464,1.3800990134834652,3.2634001039225113,8.501205851490173,-12.942051310445498
2.7453349924521886,0.7538845093297689,-9.510349605438785e-9,1.1942032219380019,4.814680083050148,3.5282384036144303,0.001814540767978389,-1.0539365447709584e-8,0.22618210217546295,2.2490442300816627,1.6481186884954109,-6.747300267359053,0.18940000999863707,1.8833010904390464,1.3800990134834652,3.2634001039225113,8.501205851490173,-12.942051310445498
3.0916710936967258,0.7545344946919844,-9.439165630146542e-9,1.2752237523630872,5.620308619164205,4.118609832922681,0.0019376480034017927,2.2687735550688336e-10,0.2415273914480712,2.4016302754728334,1.7599350505133304,-6.747300267359073,0.1894000099986378,1.8833010842390812,1.3800990196834382,3.263400103922519,8.50120625293877,-12.942034346637673
4.185963618686721,0.756889696834799,-9.096344757032063e-9,1.5687991741616343,8.539479057344856,6.25780270746494,0.0023837233127888386,4.1467898003453837e-10,0.2971305792720725,2.954521185651985,2.1650982023406553,-6.747300267359073,0.1894000099986378,1.8833010842390812,1.3800990196834382,3.263400103922519,8.50120625293877,-12.942034346637673
4.979040901801024,0.7589299018995455,-8.695032901561282e-9,1.823110280433444,11.068224341884024,8.110888715553568,0.002770138172625186,6.028219331404271e-10,0.3452971053427147,3.433465567827726,2.516072710800988,-6.747300267359073,0.1894000099986378,1.8833010842390812,1.3800990196834382,3.263400103922519,8.50120625293877,-12.942034346637673
5.262820524817749,0.7597378315907607,-8.78908167081918e-9,1.92381853623854,12.069618007893284,8.844718466177518,0.002923160064165557,-3.4204832189979557e-10,0.3643712499991493,3.623129592584646,2.655060018504285,-6.747300267359088,0.18940000999863835,1.8833011140793983,1.3800989898431264,3.2634001039225247,8.50117573572609,-12.94196343416176
6.159457979289812,0.7625939788110915,-9.103205071790949e-9,2.2798366501985257,15.60968809900942,11.438911779290649,0.0034641143762630033,-3.390019304536524e-10,0.4318010843428676,4.293618903237931,3.146400257946319,-6.747300267359088,0.18940000999863835,1.8833011140793983,1.3800989898431264,3.2634001039225247,8.50117573572609,-12.94196343416176
6.809286777432915,0.7649896884030859,-9.302763653503453e-9,2.5784613164962558,18.579065802495997,13.614896882473568,0.003917861796868377,-2.671638542950118e-10,0.488360599125494,4.856019069968032,3.558531858246059,-6.747300267359088,0.18940000999863835,1.8833011140793983,1.3800989898431264,3.2634001039225247,8.50117573572609,-12.94196343416176
7.093065400661948,0.7661323553773544,-9.198712834560693e-9,2.7208944999705094,19.99535177022664,14.65276319147846,0.004134282933315053,3.646068222819706e-10,0.5153374454996571,5.124263706703252,3.7551036872627357,-6.747300267359089,0.1894000099986384,1.8833011374600488,1.3800989664624768,3.263400103922525,8.50116720751006,-12.941938806834791
7.989699696178901,0.7701718452584945,-8.868319922485707e-9,3.2244160126607158,25.002123615655172,18.321767851300645,0.0048993623571885435,3.797694309969599e-10,0.610704425037712,6.072546344288322,4.450013206518113,-6.747300267359089,0.1894000099986384,1.8833011374600488,1.3800989664624768,3.263400103922525,8.50116720751006,-12.941938806834791
8.639526204901689,0.773560129869786,-8.610218751580362e-9,3.646764933718836,29.20175487987472,21.399293081859188,0.005541103496490789,4.189351460937084e-10,0.690697314909032,6.8679565477221045,5.032896515956967,-6.747300267359089,0.1894000099986384,1.8833011374600488,1.3800989664624768,3.263400103922525,8.50116720751006,-12.941938806834791
8.923304510506542,0.7751762227814439,-8.41274708832793e-9,3.848210554688482,31.204831789208633,22.867164565884938,0.005847191510198065,7.883575414660002e-10,0.728851117534866,7.247339688244178,5.310911035841975,-6.747300267359089,0.1894000099986384,1.8833012344956939,1.380098869426832,3.263400103922525,8.501199456438625,-12.942028532854428
9.819937802449902,0.780889339805838,-7.497115438832316e-9,4.560349317474169,38.28599198078496,28.056297879038475,0.006929255931737029,1.21127192956979e-9,0.8637302063268931,8.588511499330698,6.2937329372375235,-6.747300267359089,0.1894000099986384,1.8833012344956939,1.380098869426832,3.263400103922525,8.501199456438625,-12.942028532854428
10.469763583843022,0.7856814457154044,-6.6549382584396965e-9,5.157684250232371,44.225598933704376,32.40889144740561,0.007836880838976384,1.3560054659638506e-9,0.9768654485638312,9.713473115601621,7.118114202606272,-6.747300267359089,0.1894000099986384,1.8833012344956939,1.380098869426832,3.263400103922525,8.501199456438625,-12.942028532854428
10.753541740168162,0.787967113313757,-6.900699337572822e-9,5.442592206570337,47.05858507867242,34.48492644941826,0.008269786304372143,-9.831067289972764e-10,1.0308270183429333,10.250042499199608,7.511313473329949,-6.7473002673590825,0.18940000999863818,1.8833015794984016,1.3800985244241222,3.2634001039225233,8.501252634685788,-12.94218359301456
11.650174560443467,0.7960472710840416,-8.070967464251535e-9,6.449782070435145,57.07359121032472,41.82400338476132,0.009800168266850049,-1.5944024130075102e-9,1.2215887886294547,12.146884760670979,8.901334718264701,-6.7473002673590825,0.18940000999863818,1.8833015794984016,1.3800985244241222,3.2634001039225233,8.501252634685788,-12.94218359301456
12.300000000000004,0.8028248267791602,-9.216199770431874e-9,7.294602876168558,65.47407840059618,47.97994787179628,0.011083837383323797,-1.907498244153899e-9,1.38159785768242,13.737937118501828,10.067270665660185,-6.7473002673590825,0.18940000999863818,1.8833015794984016,1.3800985244241222,3.2634001039225233,8.501252634685788,-12.94218359301456
12.725666857875988,0.8041032029350098,-7.184044204159996e-9,7.311210676709426,55.38506252160478,62.265607040094785,0.0030066278073894565,4.885069677069735e-9,0.0390600800065927,-23.728474246270906,33.59860859886586,-1.8261309483665669,0.00534249137848282,-3.24549179274238,4.59549178440412,1.349999991661739,6.892704413757069,-1.6065969157123368
14.070614898336768,0.8081615068210174,-3.1536753927816437e-10,7.363933422800589,23.356702041911337,107.61653591364936,0.0030283092608909437,5.2324818427476144e-9,0.039341750823034954,-23.89958548600061,33.84089554537902,-1.8261309483665669,0.00534249137848282,-3.24549179274238,4.59549178440412,1.349999991661739,6.892704413757069,-1.6065969157123368
15.045352195265938,0.8111210205595069,4.7567147324388605e-9,7.402381428610925,5.4653144490282023e-5,140.68865195668693,0.0030441204375868803,5.123580332933527e-9,0.039547158962595474,-24.02436817330537,34.017583040207136,-1.8261309483665669,0.00534249137848282,-3.24549179274238,4.59549178440412,1.349999991661739,6.892704413757069,-1.6065969157123368
15.471019058779703,0.8124182848818545,1.847629577029673e-8,7.4192346113883785,5.939127230199426e-5,144.94729642574245,0.003051051066342696,3.2262061699412155e-8,0.039637196829414474,1.1143657975653261e-5,10.015955518637888,-1.826130947945395,0.005342491362730498,1.5019956315276373e-6,1.3499984895023531,1.3499999914979834,7.088755382225872,-2.856537703858202
16.81596711705377,0.8165365507120882,6.198210755936203e-8,7.472736342352719,7.443282515317224e-5,158.46669235616548,0.003073052865949477,3.242238258667338e-8,0.03992302936498283,1.1224017341861807e-5,10.08818277462551,-1.826130947945395,0.005342491362730498,1.5019956315276373e-6,1.3499984895023531,1.3499999914979834,7.088755382225872,-2.856537703858202
17.790704426892933,0.8195397916340235,9.362479795966223e-8,7.511752422045426,8.540186137251081e-5,168.325697280141,0.0030890976546983605,3.2497280199377844e-8,0.040131472433747824,1.128261932306377e-5,10.140854423276968,-1.826130947945395,0.005342491362730498,1.5019956315276373e-6,1.3499984895023531,1.3499999914979834,7.088755382225872,-2.856537703858202
18.216371287743318,0.8208562231631359,7.806585277705503e-8,7.528854612281413,8.450954930885738e-5,172.64726935882737,0.0030961306624746414,-3.665888954259114e-8,0.04022284062208399,-2.098639146653671e-6,10.163955760010163,-1.8261309475359888,0.005342491347418223,-2.7874613799519944e-7,1.3500002700849414,1.3499999913388023,7.096764882703148,-2.9277958023718886
19.56131933760209,0.8250353367721043,2.842478565245337e-8,7.583146836661209,8.16768357144275e-5,186.36643384781723,0.0031184575407499433,-3.709354899121223e-8,0.040512896361065316,-2.113772894504748e-6,10.237250277586401,-1.8261309475359888,0.005342491347418223,-2.7874613799519944e-7,1.3500002700849414,1.3499999913388023,7.096764882703148,-2.9277958023718886
20.536056641342356,0.8280829508709859,-7.781083873393508e-9,7.622739382823663,7.961108237622449e-5,196.37111977744254,0.003134739392766184,-3.715898816119285e-8,0.04072441919635973,-2.124809163895204e-6,10.290700225599062,-1.8261309475359888,0.005342491347418223,-2.7874613799519944e-7,1.3500002700849414,1.3499999913388023,7.096764882703148,-2.9277958023718886
20.96172349899815,0.8294188328161063,7.603559673092842e-9,7.640094259608455,7.975542035733044e-5,200.75654247135057,0.0031418763462125673,3.61408171123718e-8,0.04081713736832256,3.394701832260343e-7,10.314126843715542,-1.8261309471611982,0.005342491333400613,4.443272185389885e-8,1.3499999467603594,1.3499999911930802,7.095640281764449,-2.9181328126480497
22.30667153876322,0.8336596932734099,5.624905231619721e-8,7.6951886569597265,8.021363243127482e-5,214.67840567139172,0.00316453310643109,3.622149749557692e-8,0.04111147870869081,3.4191817727679955e-7,10.388504277206552,-1.8261309471611982,0.005342491333400613,4.443272185389885e-8,1.3499999467603594,1.3499999911930802,7.095640281764449,-2.9181328126480497
23.28140883518818,0.8367523361947519,9.162125406787082e-8,7.7353661868952575,8.054778309276105e-5,224.83090941713087,0.00318105552449925,3.636873244332329e-8,0.04132612681416821,3.4370337423630075e-7,10.442743940480481,-1.8261309471611982,0.005342491333400613,4.443272185389885e-8,1.3499999467603594,1.3499999911930802,7.095640281764449,-2.9181328126480497
23.707075688935216,0.8381079559213946,7.648531752958779e-8,7.752977483669193,8.052788646998171e-5,229.281127333672,0.0031882978942943956,-3.565595225772669e-8,0.04142021491488442,-4.6795099872272536e-8,10.466519580432546,-1.8261309468174776,0.005342491320545058,-6.035758522239161e-9,1.349999997095198,1.3499999910594385,7.097090881479307,-2.9310084831298684
25.052023716350067,0.8424114754910286,2.8219287878447588e-8,7.808885906086306,8.046472310361168e-5,243.40868797386372,0.003211289410222353,-3.6058936231081307e-8,0.04171890517639332,-4.7132549592963265e-8,10.541995950533243,-1.8261309468174776,0.005342491320545058,-6.035758522239161e-9,1.349999997095198,1.3499999910594385,7.097090881479307,-2.9310084831298684
26.026761003824333,0.8455498125023323,-6.978216773482609e-9,7.849657062921526,8.041866128673636e-5,253.7111963555711,0.003228055948529241,-3.612851525272264e-8,0.041936724727913585,-4.737863450101367e-8,10.59703701214236,-1.8261309468174776,0.005342491320545058,-6.035758522239161e-9,1.349999997095198,1.3499999910594385,7.097090881479307,-2.9310084831298684
26.452427852687336,0.8469254616503572,1.6223970196043318e-8,7.867528568274314,8.042537720477877e-5,258.22716664623863,0.0032354053618363107,5.450534257433898e-8,0.04203220299725261,1.5795246373079022e-8,10.621163480069274,-1.8261309465017868,0.005342491308737846,2.007650329901852e-9,1.3499999889290455,1.3499999909366949,7.095391915701062,-2.916406583239723
27.797375864670467,0.8512925661655389,8.959047293059824e-8,7.924263042927393,8.044669740557125e-5,272.56346327779,0.0032587365797319807,5.463206562586639e-8,0.04233530643499256,1.590914937597104e-8,10.697755020222827,-1.8261309465017868,0.005342491308737846,2.007650329901852e-9,1.3499999889290455,1.3499999909366949,7.095391915701062,-2.916406583239723
28.772113140960755,0.8544772724296341,1.4294569729883457e-7,7.965636597462539,8.046224513905928e-5,283.01819215550483,0.003275750845333157,5.4863399906067356e-8,0.04255634429050781,1.599221295739578e-8,10.753609318387229,-1.8261309465017868,0.005342491308737846,2.007650329901852e-9,1.3499999889290455,1.3499999909366949,7.095391915701062,-2.916406583239723
29.197779983537902,0.8558732469118184,1.2034744913531767e-7,7.983772155940391,8.046469062085848e-5,287.6008863332811,0.00328320880199825,-5.322954679745727e-8,0.042653233267377966,5.751557426176367e-9,10.778092331507551,-1.826130946211511,0.005342491297881191,7.204060024767777e-10,1.3499999901034279,1.349999990823833,7.097058332226034,-2.9309271313851712
30.542727975660085,0.8603048757704532,4.8306617350081646e-8,8.041344887637488,8.047245399182167e-5,302.14900309898,0.0033068847405902063,-5.381578052845012e-8,0.04296081508546498,5.793033182485005e-9,10.855815518728859,-1.826130946211511,0.005342491297881191,7.204060024767777e-10,1.3499999901034279,1.349999990823833,7.097058332226034,-2.9309271313851712
31.51746523755635,0.8635366363421793,-4.22636291049342e-9,8.083329740214772,8.047811542175627e-5,312.7582015802782,0.0033241503933849397,-5.39282702347779e-8,0.043185118795001705,5.823279275682359e-9,10.912495069292687,-1.826130946211511,0.005342491297881191,7.204060024767777e-10,1.3499999901034279,1.349999990823833,7.097058332226034,-2.9309271313851712
31.94313207175648,0.8649532364808933,2.009616397139007e-8,8.101733253134686,8.048082968665692e-5,317.40860546823757,0.0033317185916438524,5.714844619563356e-8,0.04328343932168493,6.383711569372364e-9,10.93733981016382,-1.8261309459443882,0.005342491287890492,7.879439280903063e-10,1.3499999899320303,1.3499999907199733,7.092724061307793,-2.8953856337532597
33.28808003741042,0.8694503430794366,9.705045723710402e-8,8.160156626906604,8.048944633034369e-5,332.1716719392411,0.003355744344445787,5.731615598348862e-8,0.04359556568707057,6.429745927350676e-9,11.016211364167706,-1.8261309459443882,0.005342491287890492,7.879439280903063e-10,1.3499999899320303,1.3499999907199733,7.092724061307793,-2.8953856337532597
34.26281728012409,0.8727298532220266,1.5302389733730258e-7,8.202761809295021,8.049573000849123e-5,342.93762226016855,0.0033732650988768844,5.7547274725890845e-8,0.043823183502799526,6.463316377450912e-9,11.073728359963122,-1.8261309459443882,0.005342491287890492,7.879439280903063e-10,1.3499999899320303,1.3499999907199733,7.092724061307793,-2.8953856337532597
34.68848410258649,0.874167383730219,1.307454012278416e-7,8.221437235556264,8.05004349871706e-5,347.65673623476675,0.003380945067856286,-5.246857496616623e-8,0.04392295672927753,1.1065695262157584e-8,11.098940179853988,-1.8261309456984616,0.005342491278692539,1.3459562977950688e-9,1.3499999892783991,1.3499999906243545,7.096427353040187,-2.9256606465875707
36.0334320311536,0.878730935403293,5.975924503371787e-8,8.28072381923229,8.051537130556054e-5,362.6379281828374,0.0034053258028483562,-5.301417280670365e-8,0.044239694785510146,1.1145492425800693e-8,11.178977067180975,-1.8261309456984616,0.005342491278692539,1.3459562977950688e-9,1.3499999892783991,1.3499999906243545,7.096427353040187,-2.9256606465875707
37.008169246988984,0.8820589005443041,8.01286100054013e-9,8.323958496505567,8.052626359967327e-5,373.5629462709646,0.0034231054276548244,-5.31192520185147e-8,0.044470675671779654,1.1203684369385411e-8,11.237343881036354,-1.8261309456984616,0.005342491278692539,1.3459562977950688e-9,1.3499999892783991,1.3499999906243545,7.096427353040187,-2.9256606465875707
37.433836051859416,0.8835176706815374,8.268398968437071e-8,8.34290985338251,8.051794736287423e-5,378.3517854762902,0.0034308989451666424,1.7563982349836125e-7,0.04457192305995775,-1.955905680769167e-8,11.262928242670773,-1.8261309454720238,0.005342491270223508,-2.344392686855448e-9,1.3499999928807074,1.3499999905363138,7.095186576356421,-2.9148173716752592
38.77878392484249,0.8881486491971942,3.197104472430283e-7,8.403072400106426,8.049154682661264e-5,393.5543255537347,0.003455639907435122,1.7675533724707305e-7,0.04489334094062461,-1.9700101428709378e-8,11.344147680319745,-1.8261309454720238,0.005342491270223508,-2.344392686855448e-9,1.3499999928807074,1.3499999905363138,7.095186576356421,-2.9148173716752592
39.75352110039391,0.8915257852896222,4.92275761897512e-7,8.446945872476993,8.047229426400998e-5,404.64076152379096,0.0034736822276006853,1.7727888851622108e-7,0.0451277345837588,-1.9802958119119754e-8,11.40337686770766,-1.8261309454720238,0.005342491270223508,-2.344392686855448e-9,1.3499999928807074,1.3499999905363138,7.095186576356421,-2.9148173716752592
40.17918787591625,0.893006108795827,5.088808072488818e-7,8.466177236320695,8.054423295174349e-5,409.5003559238216,0.003481590811377673,3.903364907920024e-8,0.04523047791121023,1.6919347198285453e-7,11.429339019032138,-1.826130945263595,0.005342491262428024,1.9984636183486884e-8,1.3499999704706396,1.3499999904552749,7.092780361635332,-2.8961298731212946
41.5241356561703,0.897705510145085,5.61481097422913e-7,8.527228686775581,8.077260787440845e-5,424.92751382877066,0.0035066973220004268,3.918422639384361e-8,0.04555664475182391,1.704135630217213e-7,11.511758475343425,-1.826130945263595,0.005342491262428024,1.9984636183486884e-8,1.3499999704706396,1.3499999904552749,7.092780361635332,-2.8961298731212946
42.49887276451732,0.901132543513694,5.99726258917836e-7,8.57175039121471,8.093915004061126e-5,436.1777521025923,0.003525006217902562,3.928795163180166e-8,0.04579450156877852,1.7130331304818496e-7,11.57186277502155,-1.826130945263595,0.005342491262428024,1.9984636183486884e-8,1.3499999704706396,1.3499999904552749,7.092780361635332,-2.8961298731212946
42.92453948133151,0.9026347387359692,5.598202022965583e-7,8.591265897772521,8.051933519188002e-5,441.1091473355275,0.0035330316524385835,-9.391991147613599e-8,0.04589876293044613,-9.873677709773753e-7,11.598209866719042,-1.8261309450718903,0.0053424912552580426,-1.1492692494112966e-7,1.3500001053076638,1.349999990380738,7.097743645200567,-2.937575233306882
